Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 05:13",18570.0,18575.25,18568.25,18575.0,436,504,287.0,369.0,325.0,434.0
"2024/09/09, 05:14",18575.0,18575.25,18570.25,18575.0,406,304,275.0,199.0,346.0,432.0
"2024/09/09, 05:15",18575.0,18580.0,18573.5,18579.0,350,548,276.0,383.0,303.0,427.0
"2024/09/09, 05:16",18578.75,18582.5,18577.25,18581.5,212,340,133.0,236.0,335.0,419.0
"2024/09/09, 05:17",18581.5,18588.75,18581.5,18586.5,483,645,336.0,486.0,341.0,361.0
"2024/09/09, 05:18",18586.5,18589.5,18579.5,18581.0,490,433,341.0,277.0,378.0,301.0
"2024/09/09, 05:19",18581.0,18582.75,18580.0,18581.25,240,199,179.0,129.0,394.0,307.0
"2024/09/09, 05:20",18582.0,18586.0,18580.25,18580.5,233,283,159.0,186.0,429.0,299.0
"2024/09/09, 05:21",18580.25,18584.0,18578.0,18582.0,328,337,235.0,267.0,383.0,345.0
"2024/09/09, 05:22",18582.0,18583.0,18577.75,18577.75,240,187,210.0,142.0,424.0,336.0
"2024/09/09, 05:23",18577.75,18578.0,18568.5,18573.0,703,410,575.0,293.0,367.0,416.0
"2024/09/09, 05:24",18573.25,18574.75,18568.0,18569.0,397,370,290.0,256.0,490.0,372.0
"2024/09/09, 05:25",18569.0,18571.5,18567.0,18568.0,353,320,244.0,215.0,487.0,389.0
"2024/09/09, 05:26",18568.0,18576.75,18568.0,18576.5,421,622,295.0,442.0,303.0,459.0
"2024/09/09, 05:27",18576.5,18578.0,18570.0,18570.0,345,242,250.0,159.0,423.0,358.0
"2024/09/09, 05:28",18569.75,18572.0,18568.25,18570.5,310,329,238.0,214.0,371.0,392.0
"2024/09/09, 05:29",18570.75,18572.0,18565.5,18569.25,550,590,376.0,374.0,398.0,361.0
"2024/09/09, 05:30",18569.25,18578.5,18568.5,18578.25,514,723,362.0,523.0,346.0,459.0
"2024/09/09, 05:31",18578.25,18579.5,18572.0,18573.75,402,480,306.0,288.0,395.0,375.0
"2024/09/09, 05:32",18573.75,18581.75,18573.25,18580.25,240,409,164.0,257.0,308.0,397.0
"2024/09/09, 05:33",18580.25,18586.75,18579.25,18585.75,481,715,365.0,517.0,330.0,351.0
"2024/09/09, 05:34",18585.75,18592.5,18584.5,18585.75,596,750,402.0,513.0,375.0,329.0
"2024/09/09, 05:35",18585.75,18588.25,18582.75,18585.25,404,371,279.0,228.0,406.0,350.0
"2024/09/09, 05:36",18585.25,18598.0,18585.0,18597.25,542,938,337.0,631.0,346.0,396.0
"2024/09/09, 05:37",18597.0,18597.5,18587.25,18589.75,789,481,541.0,328.0,410.0,370.0
"2024/09/09, 05:38",18589.75,18590.0,18585.75,18586.25,364,281,285.0,199.0,455.0,303.0
"2024/09/09, 05:39",18586.25,18590.0,18584.5,18587.5,400,401,254.0,291.0,398.0,343.0
"2024/09/09, 05:40",18587.25,18589.0,18584.5,18588.5,267,198,178.0,146.0,389.0,380.0
"2024/09/09, 05:41",18588.5,18592.5,18586.0,18591.75,272,421,215.0,279.0,361.0,474.0
"2024/09/09, 05:42",18591.75,18594.25,18587.5,18589.0,571,369,428.0,252.0,400.0,401.0
"2024/09/09, 05:43",18589.0,18592.5,18588.75,18590.0,197,220,130.0,136.0,410.0,459.0
"2024/09/09, 05:44",18590.25,18591.25,18589.0,18590.75,119,145,84.0,112.0,383.0,473.0
"2024/09/09, 05:45",18591.0,18593.5,18587.5,18588.75,306,264,220.0,180.0,426.0,378.0
"2024/09/09, 05:46",18588.75,18589.75,18582.0,18582.5,497,223,349.0,140.0,463.0,324.0
"2024/09/09, 05:47",18582.75,18583.25,18577.25,18582.75,698,580,557.0,379.0,369.0,406.0
"2024/09/09, 05:48",18582.75,18586.25,18582.0,18585.0,374,423,241.0,297.0,314.0,419.0
"2024/09/09, 05:49",18585.0,18587.0,18583.0,18587.0,261,246,171.0,187.0,285.0,449.0
"2024/09/09, 05:50",18587.0,18589.75,18585.75,18589.0,212,353,136.0,235.0,299.0,471.0
"2024/09/09, 05:51",18589.0,18595.25,18589.0,18593.25,472,621,314.0,449.0,347.0,440.0
"2024/09/09, 05:52",18593.5,18595.0,18592.0,18593.25,316,306,219.0,197.0,367.0,452.0
"2024/09/09, 05:53",18593.25,18597.0,18593.0,18596.0,201,264,141.0,196.0,345.0,438.0
"2024/09/09, 05:54",18596.0,18601.75,18594.75,18600.75,585,869,425.0,597.0,341.0,380.0
"2024/09/09, 05:55",18600.75,18607.5,18600.0,18605.75,629,834,422.0,602.0,392.0,361.0
"2024/09/09, 05:56",18605.75,18606.75,18601.0,18604.5,481,396,351.0,267.0,374.0,397.0
"2024/09/09, 05:57",18604.5,18606.0,18604.0,18604.5,266,288,169.0,206.0,405.0,376.0
"2024/09/09, 05:58",18604.5,18611.0,18602.75,18603.25,503,725,355.0,518.0,416.0,341.0
"2024/09/09, 05:59",18603.25,18605.75,18602.25,18604.25,377,372,247.0,281.0,400.0,328.0
